Date,Contact
17/05/2021,1830
18/05/2021,1328
19/05/2021,1090
20/05/2021,2005
21/05/2021,1663
22/05/2021,1707
23/05/2021,1175
24/05/2021,1272
25/05/2021,1083
26/05/2021,753
27/05/2021,1189
28/05/2021,1081
29/05/2021,1143
30/05/2021,913
31/05/2021,1007
6-01-2021,814
6-02-2021,645
6-03-2021,712
6-04-2021,928
6-05-2021,718
6-06-2021,626
6-07-2021,700
6-08-2021,642
6-09-2021,493
6-10-2021,633
6-11-2021,638
6-12-2021,617
13/06/2021,567
14/06/2021,653
15/06/2021,554
16/06/2021,529
17/06/2021,766
18/06/2021,675
19/06/2021,657
20/06/2021,624
21/06/2021,599
22/06/2021,566
23/06/2021,495
24/06/2021,753
25/06/2021,689
26/06/2021,643
27/06/2021,606
28/06/2021,659
29/06/2021,698
30/06/2021,624
7-01-2021,722
7-02-2021,699
7-03-2021,718
7-04-2021,685
7-05-2021,696
7-06-2021,612
7-07-2021,530
7-08-2021,828
7-09-2021,797
7-10-2021,617
7-11-2021,725
7-12-2021,742
13/07/2021,617
14/07/2021,632
15/07/2021,783
16/07/2021,698
17/07/2021,623
18/07/2021,700
19/07/2021,788
20/07/2021,662
21/07/2021,534
22/07/2021,975
23/07/2021,876
24/07/2021,910
25/07/2021,932
26/07/2021,927
27/07/2021,623
28/07/2021,604
29/07/2021,927
30/07/2021,835
31/07/2021,996
8-01-2021,996
8-02-2021,977
8-03-2021,789
8-04-2021,627
8-05-2021,941
8-06-2021,1258
8-07-2021,945
8-08-2021,960
8-09-2021,853
8-10-2021,747
8-11-2021,729
8-12-2021,1181
13/08/2021,971
14/08/2021,945
15/08/2021,785
16/08/2021,838
17/08/2021,572
18/08/2021,771
19/08/2021,1313
20/08/2021,1576
21/08/2021,1195
22/08/2021,1260
23/08/2021,1158
24/08/2021,1137
25/08/2021,1061
26/08/2021,1521
27/08/2021,1161
28/08/2021,1441
29/08/2021,1251
30/08/2021,1046
31/08/2021,894
9-01-2021,1261
9-02-2021,1259
9-03-2021,1006
9-04-2021,1012
9-05-2021,793
9-06-2021,774
9-07-2021,778
9-08-2021,881
9-09-2021,866
9-10-2021,998
9-11-2021,1038
9-12-2021,807
13/09/2021,687
14/09/2021,798
15/09/2021,595
16/09/2021,737
17/09/2021,877
18/09/2021,692
19/09/2021,617
20/09/2021,492
21/09/2021,540
22/09/2021,598
23/09/2021,691
24/09/2021,552
25/09/2021,623
26/09/2021,444
27/09/2021,390
28/09/2021,529
29/09/2021,452
30/09/2021,494
10-01-2021,443
10-02-2021,397
10-03-2021,333
10-04-2021,382
10-05-2021,360
10-06-2021,347
10-07-2021,337
10-08-2021,321
10-09-2021,278
10-10-2021,267
10-11-2021,353
10-12-2021,348
13/10/2021,326
14/10/2021,254
15/10/2021,332
16/10/2021,252
17/10/2021,229
18/10/2021,276
19/10/2021,297
20/10/2021,286
21/10/2021,286
22/10/2021,250
23/10/2021,214
24/10/2021,293
25/10/2021,452
26/10/2021,415
27/10/2021,360
28/10/2021,352
29/10/2021,448
30/10/2021,359
31/10/2021,300
11-01-2021,366
11-02-2021,386
11-03-2021,424
11-04-2021,497
11-05-2021,341
11-06-2021,274
11-07-2021,336
11-08-2021,324
11-09-2021,392
11-10-2021,310
11-11-2021,330
11-12-2021,252
13/11/2021,238
14/11/2021,344
15/11/2021,274
16/11/2021,331
17/11/2021,308
18/11/2021,315
19/11/2021,241
20/11/2021,292
21/11/2021,260
22/11/2021,205
23/11/2021,219
24/11/2021,205
25/11/2021,226
26/11/2021,187
27/11/2021,221
28/11/2021,244
29/11/2021,229
30/11/2021,200
12-01-2021,200
12-02-2021,171
12-03-2021,145
12-04-2021,183
12-05-2021,207
12-06-2021,199
12-07-2021,183
12-08-2021,132
12-09-2021,140
12-10-2021,130
12-11-2021,166
12-12-2021,141
13/12/2021,138
14/12/2021,138
15/12/2021,116
16/12/2021,124
17/12/2021,86
18/12/2021,121
19/12/2021,121
20/12/2021,108
21/12/2021,156
22/12/2021,134
23/12/2021,130
24/12/2021,157
25/12/2021,222
26/12/2021,231
27/12/2021,233
28/12/2021,276
29/12/2021,320
30/12/2021,628
31/12/2021,693
1-01-2022,691
1-02-2022,859
1-03-2022,964
1-04-2022,234
1-05-2022,442
1-06-2022,579
1-07-2022,596
1-08-2022,2654
1-09-2022,4468
1-10-2022,2225
1-11-2022,1336
1-12-2022,4332
13/01/2022,3541
14/01/2022,3868
15/01/2022,1173
16/01/2022,1154
17/01/2022,2378
18/01/2022,1941
19/01/2022,3168
20/01/2022,2663
21/01/2022,2486
22/01/2022,1554
23/01/2022,4389
24/01/2022,1639
25/01/2022,1924
26/01/2022,2629
27/01/2022,4327
28/01/2022,1598
29/01/2022,2371
30/01/2022,1666
31/01/2022,1586
2-01-2022,2236
2-02-2022,2659
2-03-2022,1398
2-04-2022,1637
2-05-2022,2741
2-06-2022,1556
2-07-2022,2039
2-08-2022,2043
2-09-2022,1081
2-10-2022,1587
2-11-2022,1821
2-12-2022,677
13/02/2022,802
14/02/2022,482
15/02/2022,727
16/02/2022,584
17/02/2022,172
18/02/2022,90
19/02/2022,53
20/02/2022,177
21/02/2022,54
22/02/2022,144
23/02/2022,115
24/02/2022,132
25/02/2022,112
26/02/2022,32
27/02/2022,118
28/02/2022,116
3-01-2022,85
3-02-2022,71
3-03-2022,87
3-04-2022,95
3-05-2022,114
3-06-2022,58
3-07-2022,94
3-08-2022,108
3-09-2022,114
3-10-2022,155
3-11-2022,76
3-12-2022,61
13/03/2022,32
14/03/2022,175
15/03/2022,88
16/03/2022,50
17/03/2022,124
18/03/2022,117
19/03/2022,111
20/03/2022,143
21/03/2022,57
22/03/2022,47
23/03/2022,169
24/03/2022,143
25/03/2022,93
26/03/2022,73
27/03/2022,83
28/03/2022,44
29/03/2022,59
30/03/2022,59
31/03/2022,53
4-01-2022,76
4-02-2022,88
4-03-2022,165
4-04-2022,89
4-05-2022,71
